Name,Wed,Thu,Fri,Sat,Sun,Mon,Tue
Pats,00:00-00:00,19:00-00:00,19:00-00:00,00:00-00:00,19:00-00:00,19:00-00:00,19:00-00:00
Tobi,00:00-00:00,19:00-00:00,19:00-00:00,00:00-00:00,19:00-00:00,19:00-00:00,19:00-00:00
Nezu,00:00-00:00,19:00-23:00,19:00-20:00,00:00-00:00,10:00-23:00,19:00-23:00,19:00-23:00
Lenn,00:00-00:00,19:00-00:00,19:00-00:00,00:00-00:00,19:00-00:00,19:00-00:00,19:00-00:00
Alice,00:00-00:00,19:00-00:00,19:00-00:00,00:00-00:00,19:00-00:00,19:00-00:00,19:00-00:00
Suzu,00:00-00:00,19:00-00:00,19:00-00:00,00:00-00:00,19:00-00:00,19:00-00:00,19:00-00:00
Thug,00:00-00:00,19:00-00:00,19:00-00:00,00:00-00:00,19:00-00:00,19:00-00:00,19:00-00:00
Lily,00:00-00:00,19:00-00:00,19:00-00:00,00:00-00:00,19:00-00:00,19:00-00:00,19:00-00:00
Neo,00:00-00:00,19:30-00:00,19:30-00:00,00:00-00:00,19:30-00:00,19:30-00:00,19:30-00:00
Krabby,00:00-00:00,19:00-00:00,19:00-00:00,00:00-00:00,19:00-00:00,19:00-00:00,19:00-00:00
Kim,00:00-00:00,19:00-00:00,19:00-00:00,00:00-00:00,19:00-00:00,19:00-00:00,19:00-00:00
Akido,00:00-00:00,19:00-00:00,19:00-00:00,00:00-00:00,19:00-00:00,19:00-00:00,19:00-00:00
Resake,00:00-00:00,19:00-00:00,19:00-00:00,00:00-00:00,19:00-00:00,19:00-00:00,19:00-00:00
Oxy,00:00-00:00,19:00-00:00,19:00-00:00,00:00-00:00,19:00-00:00,19:00-00:00,19:00-00:00
Michi,00:00-00:00,19:00-00:00,19:00-00:00,00:00-00:00,19:00-00:00,19:00-00:00,19:00-00:00
Sahra,00:00-00:00,19:00-00:00,19:00-00:00,00:00-00:00,19:00-00:00,19:00-00:00,19:00-00:00
