Timeslot,Raid,Member1,Class1,Member2,Class2,Member3,Class3,Member4,Class4,Member5,Class5,Member6,Class6,Member7,Class7,Member8,Class8,Member9,Class9,Member10,Class10,Member11,Class11,Member12,Class12,Member13,Class13,Member14,Class14,Member15,Class15,Member16,Class16
Fri,Aegir NM,Pats,Bard3,Tobi,Reaper,Suzu,DB,Thug,GL,Sahra,DB,Nezu,Sorc3,,,,,,,,,,,,,,,,,,,,
Fri,Aegir HM,Pats,Bard,Tobi,DB,Suzu,Arcana,Lenn,Soup,Nezu,Paladin,Akido,Sf,Thug,Breaker,,,,,,,,,,,,,,,,,,
Mon,G4,Lily,Bard,Krabby,Arcana,Neo,Sorc,Akido,SF,Alice,Artist2,Thug,WD,Kim,SF2,Resake,DB,,,,,,,,,,,,,,,,
Mon,Aegir NM,Lily,Bard2,Neo,Soup,Krabby,WD,Resake,Sorc,Nezu,Soup,,,,,,,,,,,,,,,,,,,,,,
Sat,Aegir NM,Pats,Artist,Tobi,Breaker,Akido,Aero,Kim,SF2,Lily,Artist,Suzu,Arcana2,Neo,Breaker,Krabby,Aero,,,,,,,,,,,,,,,,
Sat,G4,Suzu,Bard,Lily,Sorc,Krabby,Arcana2,Kim,Breaker,Pats,Bard4,Tobi,Reaper2,Thug,GL,Akido,Breaker,,,,,,,,,,,,,,,,
Sat,G4,Pats,Bard3,Tobi,Reaper,Kim,DB,Lenn,Deadeye,Krabby,Pally,Neo,Gl,Suzu,DB,Lily,Reaper,,,,,,,,,,,,,,,,
Sat,G4,Pats,Bard2,Tobi,DB2,Lenn,Soup,Akido,Aero,Lily,Artist,Neo,Breaker,Krabby,Aero,Suzu,Arcana2,,,,,,,,,,,,,,,,
Sun,behemoth,Pats,Bard,Tobi,DB,Suzu,Arcana,Lenn,Soup,Sahra,Artist,Michi,Reaper,Nezu,DPS,Thug,WD,Kim,Artist,Resake,Breaker,Alice,Aero,Oxy,Soup,Lily,Bard2,Neo,Soup,Krabby,WD,Akido,SF2
Sun,behemoth,Pats,Artist,Tobi,Breaker,Alice,GS,Kim,SF2,Akido,Pally,Oxy,WD,Resake,Soup,Nezu,DPS,Lily,Artist,Neo,Breaker,Krabby,Aero,Suzu,Arcana2,Sahra,Pala,Thug,GL,Michi,Soup,Lenn,Slayer
