timeslot,name,member_1,member_2,member_3,member_4,member_5,member_6,member_7,member_8
Fri,Echidna,Suzu:Bard,Lily:Sorc,Krabby:Arcana2,Kim:Breaker,Sahra:Paladin,Oxy:Soup2,Nezu:Sorc3,Michi:Reaper
Fri,Thaemine G4,Alice:Artist,Tobi:Reaper,Pats:GS,Suzu:DB,Lily:Bard2,Resake:Breaker,Krabby:WD,Akido:SF2
Fri,Thaemine G4,Suzu:Bard,Lily:Sorc,Krabby:Arcana2,Kim:Breaker,Pats:Bard3,Tobi:Reaper2,Thug:Destro,Akido:Breaker
Fri,behemoth,Pats:Artist,Tobi:Breaker,Kim:SF2,Akido:Pally,Oxy:WD,Resake:Soup,Nezu:Sorc,
Fri,Aegir NM,Pats:Bard3,Tobi:Reaper,Suzu:DB,Akido:Aero,Nezu:Sorc3,Oxy:Soup,Sahra:SH,
Mon,Echidna,Nezu:Paladin,Akido:Sf,Oxy:WD,Lenn:Soup,Sahra:Artist,Suzu:Slayer,Neo:Scrapper,Resake:Breaker
Mon,Echidna,Akido:Paladin,Resake:Soup,Suzu:Arcana,Lenn:Deadge,Kim:Bard,Sahra:Slayer,Nezu:Soup,Oxy:WD2
Sat,behemoth,Pats:Bard,Tobi:DB,Suzu:Arcana,Lenn:Soup,Sahra:Artist,Michi:Reaper,Nezu:Sorc3,
Sat,behemoth,Pats:Bard4,Tobi:Reaper2,Suzu:Slayer,Lenn:Soup2,Sahra:Slayer,Nezu:Breaker,Oxy:Soup2,
Sat,behemoth,Pats:Bard2,Tobi:DB2,Sahra:Soup,Lenn:Deadge,Suzu:Bard,Lily:Sorc,Krabby:Arcana2,Akido:Sf
Sat,behemoth,Suzu:Artist,Tobi:Slayer,Pats:GS,Sahra:DB,Akido:Artist,Resake:Sorc,Nezu:Soup,Lenn:Reaper
Sat,Aegir HM,Tobi:Slayer,Pats:GS,Lenn:DB,Suzu:Bard,Kim:Breaker,Lily:Sorc,Krabby:Arcana2,
Sat,Aegir HM,Pats:Bard2,Tobi:DB2,Lenn:Deadge,Kim:Sf,Nezu:Paladin,Akido:Sf,Resake:Soup,
Sat,Thaemine G4,Pats:Bard,Tobi:DB,Suzu:Arcana,Alice:Glaivier,Kim:Artist,Resake:DB,Lenn:Slayer,
Sat,Thaemine G4,Lily:Bard,Krabby:Arcana,Alice:Aero,Kim:SF,Suzu:Artist,Lenn:Soup2,Thug:Breaker,Akido:Aero
Sat,Thaemine G4,Pats:Artist,Tobi:Slayer,Alice:GS,Lenn:Soup,Krabby:Pally,Thug:GL,Kim:DB,Lily:Reaper
Sat,Thaemine G4,Pats:Bard2,Tobi:DB2,Lenn:Deadeye,Akido:SF,Lily:Artist,Thug:WD,Krabby:Aero,Suzu:Arcana2
Sat,Thaemine G4,Akido:Pala,Resake:Soup,Thug:Scrapper,Alice:Arcana,Pats:Bard4,Tobi:Breaker,Lenn:Reaper,
Sat,Thaemine G4,Alice:Artist2,Lily:Arcana,Kim:SF2,Lenn:DB,Akido:Artist,Suzu:Slayer,Resake:Soup2,
Sun,Echidna,Lily:Bard,Neo:Sorc,Krabby:Arcana,Kim:DB,Akido:Breaker,Michi:Soup,Resake:DB,
Sun,Echidna,Krabby:Pally,Lily:Reaper,Lenn:DB,Neo:GL,Kim:Artist,Sahra:SH,Michi:Breaker,Oxy:Soup
Sun,Echidna,Lily:Artist,Neo:Breaker,Krabby:Aero,Suzu:Arcana2,Akido:Artist,Resake:Soup2,Michi:SH,Nezu:Breaker
Sun,Echidna,Neo:Paladin,Lily:Arcana,Kim:Sf,Suzu:DB,Nezu:Sorc2,Akido:SF2,Michi:Berzerker,
Sun,Echidna,Lily:Bard2,Neo:Soup,Krabby:WD,Kim:SF2,Suzu:Artist,Sahra:Soup,Resake:Sorc,Akido:Aero
Sun,behemoth,Pats:Bard3,Tobi:Reaper,Akido:Aero,Suzu:DB,Neo:Pally,Lily:Arcana,Kim:SF,Lenn:DB
Sun,Aegir NM,Pats:Artist,Tobi:Breaker,Nezu:Soup,Kim:SF2,Lily:Artist,Suzu:Arcana2,Neo:Breaker,Krabby:Aero
Sun,Aegir NM,Krabby:Paladin,Lily:Reaper,Neo:GL,Oxy:Soup2,Akido:SF2,Michi:SH,Resake:Soup2,
Sun,Aegir NM,Pats:Bard4,Tobi:Reaper2,Sahra:Soup,Michi:Breaker,Lily:Bard2,Neo:Soup,Krabby:WD,Nezu:Sorc2
Sun,Aegir HM,Pats:Bard,Tobi:DB,Suzu:Arcana,Lenn:Soup,Neo:Paladin,Lily:Arcana,Kim:DB,Nezu:Sorc
Sun,Aegir HM,Lily:Bard,Neo:Sorc,Krabby:Arcana,Nezu:Breaker,Akido:Paladin,Oxy:WD,,
